layer,field,table,applicable_assets,populated_assets,unknown_rows,null_missing_assets,confidence_coverage_assets,evidence_coverage_assets,structured_vs_prose,prose_only_assets,searchable_today
Identity,asset_identity,assets,877,877,0,0,0,0,STRUCTURED,0,PARTIAL
Identity,filename,assets,877,877,0,0,0,0,STRUCTURED,0,PARTIAL
Global,overall_description,semantic_assertions,877,0,0,877,0,0,PROSE/ASSERTION,0,YES
People,person_detected,scene_people,877,10,0,867,10,0,STRUCTURED,0,NO
People,person_role,scene_people,877,10,0,867,10,0,STRUCTURED,0,NO
People,apparent_age,scene_people,877,0,0,877,0,0,STRUCTURED,0,NO
People,age_min,scene_people,877,2,0,875,2,0,STRUCTURED,0,NO
People,age_max,scene_people,877,2,0,875,2,0,STRUCTURED,0,NO
People,gender_presentation,scene_people,877,2,0,875,2,0,STRUCTURED,0,NO
Appearance,hair_color,person_appearances,877,2,0,875,2,0,STRUCTURED,0,NO
Appearance,hair_length,person_appearances,877,2,0,875,2,0,STRUCTURED,0,NO
Appearance,hair_density,person_appearances,877,2,0,875,2,0,STRUCTURED,27,NO
Appearance,facial_hair,person_appearances,877,2,0,875,2,0,STRUCTURED,8,NO
Appearance,clothing,person_appearances,877,2,0,875,2,0,STRUCTURED,39,NO
Appearance,posture,scene_people,877,2,0,875,2,0,STRUCTURED,5,NO
Speech,transcript,asset_transcript_chunks,877,47,0,830,47,0,STRUCTURED,13,PARTIAL
Speech,language,asset_transcript_chunks,877,47,0,830,47,0,STRUCTURED,0,PARTIAL
OCR,visible_text,ocr_observations,877,270,0,607,270,0,STRUCTURED,4,PARTIAL
Safety / Consent,classification,asset_access_control,877,877,0,0,0,0,STRUCTURED,0,PARTIAL
Safety / Consent,consent,asset_access_control,877,0,877,877,0,0,STRUCTURED,0,PARTIAL
Safety / Consent,internal_usage,asset_access_control,877,877,0,0,0,0,STRUCTURED,0,PARTIAL
Evidence,assertion_evidence,semantic_assertion_evidence,877,877,0,0,0,0,STRUCTURED,0,YES
