layer_number,layer_id,layer_name,assets_expected,assets_marked_complete,assets_meaningful,assets_placeholder_only,assets_missing_layer,scene_assertions,asset_assertions,avg_assertions_per_applicable_asset,assertions_with_confidence,assertions_with_evidence
1,ASSET_IDENTITY_PROVENANCE,Asset Identity & Provenance,881,877,857,0,4,770,857,1.9,1627,1627
2,GLOBAL_ASSET_UNDERSTANDING,Global Asset Understanding,881,877,637,0,4,534,531,1.67,1065,1065
3,TEMPORAL_SCENE_STRUCTURE,Temporal / Scene Structure,881,877,578,0,4,759,569,2.3,1328,1328
4,PEOPLE_ROLES,People & Roles,881,877,562,17,4,686,505,2.06,1191,1191
5,PERSON_APPEARANCE,Person Appearance,881,877,838,4,4,773,833,1.91,1606,1606
6,ANATOMY,Anatomy,881,877,806,17,4,760,786,1.88,1546,1546
7,TREATMENT_PROCEDURE,Treatment / Procedure,881,877,7,9,4,7,13,1.25,13,13
8,ACTIONS_EVENTS,Actions & Events,881,877,744,43,4,796,757,1.97,1553,1553
9,RELATIONSHIPS,Relationships,881,877,439,46,4,640,450,2.25,1090,1090
10,CLINICAL_VISUAL_OBSERVATIONS,Clinical Visual Observations,881,877,774,17,4,731,743,1.86,1472,1472
11,ENVIRONMENT,Environment,881,877,478,23,4,325,420,1.49,742,742
12,CINEMATOGRAPHY,Cinematography,881,877,822,0,4,762,777,1.87,1539,1539
13,COMPOSITION,Composition,881,877,850,0,4,779,841,1.91,1620,1620
14,SPEECH_TRANSCRIPT_AUDIO,Speech / Transcript / Audio,881,877,60,504,4,736,617,2.4,1319,1353
15,OCR_VISIBLE_TEXT,OCR / Visible Text,881,877,247,587,4,726,831,1.87,1557,1557
16,MARKETING_CONTENT_USAGE,Marketing & Content Usage,881,877,24,55,4,110,66,2.23,176,176
17,SEMANTIC_NARRATIVE,Semantic Narrative,881,877,559,0,4,399,491,1.59,890,890
18,SEARCH_EMBEDDINGS,Search & Embeddings,881,877,158,0,4,96,148,1.54,244,244
