asset_id,ordinal,filename,media_type,semantic_18_layer_status,semantic_meaningful_data,scene_status,keyframe_status,people_structured,appearance_structured,treatment_structured,action_structured,relationship_structured,canonical_search_doc,canonical_search_doc_status,text_embedding,visual_embedding,acl_status,privacy_status,current_search_ready_flag,AUDIT_PROCESSING_COMPLETE,AUDIT_SEARCH_ATTRIBUTE_COMPLETE,AUDIT_SEARCH_READY,problem_codes
ebb8104e-1da2-4247-9db6-75331cb68cc4,1,1 MONTH 22.02 (1).jpeg,image/jpeg,COMPLETE,True,PRESENT,PRESENT,False,False,False,True,False,True,READY,True,True,PRESENT,VERIFIED,True,True,True,True,PEOPLE_DATA_MISSING|APPEARANCE_DATA_MISSING
9a6057f4-97eb-4028-9375-c7b530582365,2,1 MONTH 22.02 (2).jpeg,image/jpeg,COMPLETE,True,PRESENT,PRESENT,False,False,False,True,False,True,READY,True,True,PRESENT,VERIFIED,True,True,True,True,PEOPLE_DATA_MISSING|APPEARANCE_DATA_MISSING
395ad032-4bf5-4090-a701-71c402a117ce,3,1 MONTH 22.02 (3).jpeg,image/jpeg,COMPLETE,True,PRESENT,PRESENT,False,False,False,True,False,True,READY,True,True,PRESENT,VERIFIED,True,True,True,True,PEOPLE_DATA_MISSING|APPEARANCE_DATA_MISSING
068487d9-bdf0-46d3-93fd-6080c769a9f6,4,1 MONTH 22.02 (4).jpeg,image/jpeg,COMPLETE,True,PRESENT,PRESENT,False,False,False,True,False,True,READY,True,True,PRESENT,VERIFIED,True,True,True,True,PEOPLE_DATA_MISSING|APPEARANCE_DATA_MISSING
f8635043-6389-45c5-95be-7fce960b13ff,5,1 MONTH 22.02 (5).jpeg,image/jpeg,COMPLETE,True,PRESENT,PRESENT,False,False,False,True,False,True,READY,True,True,PRESENT,VERIFIED,True,True,True,True,PEOPLE_DATA_MISSING|APPEARANCE_DATA_MISSING
6bad3892-7ae9-4f9d-be87-0312dbb4b9e7,6,1 MONTH 22.02 (6).jpeg,image/jpeg,COMPLETE,True,PRESENT,PRESENT,False,False,False,False,False,True,READY,True,True,PRESENT,VERIFIED,True,True,True,True,PEOPLE_DATA_MISSING|APPEARANCE_DATA_MISSING
994204b3-5ebb-48b0-92f7-46652b49e0dd,7,1 MONTH 22.02 (7).jpeg,image/jpeg,COMPLETE,True,PRESENT,PRESENT,False,False,False,True,False,True,READY,True,True,PRESENT,VERIFIED,True,True,True,True,PEOPLE_DATA_MISSING|APPEARANCE_DATA_MISSING
133c5486-1531-486b-ae48-acc5391d46b5,8,1 MONTH 22.02 (8).jpeg,image/jpeg,COMPLETE,True,PRESENT,PRESENT,False,False,False,True,False,True,READY,True,True,PRESENT,VERIFIED,True,True,True,True,PEOPLE_DATA_MISSING|APPEARANCE_DATA_MISSING
01b78dd6-16f3-488a-91c5-113081e92f95,9,1 MONTH 22.02 (9).jpeg,image/jpeg,COMPLETE,True,PRESENT,PRESENT,False,False,False,False,False,True,READY,True,False,PRESENT,VERIFIED,True,True,True,False,PEOPLE_DATA_MISSING|APPEARANCE_DATA_MISSING|VISUAL_EMBEDDING_MISSING|FALSE_SEARCH_READY
78516c04-8d74-4e01-945c-90c1fe84fe36,10,2 MONTH 22.03 (1).jpeg,image/jpeg,COMPLETE,True,PRESENT,PRESENT,False,False,False,True,False,True,READY,True,True,PRESENT,VERIFIED,True,True,True,True,PEOPLE_DATA_MISSING|APPEARANCE_DATA_MISSING
1b80baea-ef5c-45cc-9769-d32c570bb529,11,2 MONTH 22.03 (10).jpeg,image/jpeg,COMPLETE,True,PRESENT,PRESENT,False,False,False,True,False,True,READY,True,True,PRESENT,VERIFIED,True,True,True,True,PEOPLE_DATA_MISSING|APPEARANCE_DATA_MISSING
84b72cb3-70b5-47cc-928a-5a82cc24ef77,12,2 MONTH 22.03 (11).jpeg,image/jpeg,COMPLETE,True,PRESENT,PRESENT,False,False,False,False,False,True,READY,True,False,PRESENT,VERIFIED,True,True,True,False,PEOPLE_DATA_MISSING|APPEARANCE_DATA_MISSING|VISUAL_EMBEDDING_MISSING|FALSE_SEARCH_READY
666a41f6-bf0b-410d-8438-9dac7264bdf7,13,2 MONTH 22.03 (2).jpeg,image/jpeg,COMPLETE,True,PRESENT,PRESENT,False,False,False,True,False,True,READY,True,True,PRESENT,VERIFIED,True,True,True,True,PEOPLE_DATA_MISSING|APPEARANCE_DATA_MISSING
b8e77714-90af-4fe0-aaae-52ab930f7573,14,2 MONTH 22.03 (3).jpeg,image/jpeg,COMPLETE,True,PRESENT,PRESENT,False,False,False,True,False,True,READY,True,True,PRESENT,VERIFIED,True,True,True,True,PEOPLE_DATA_MISSING|APPEARANCE_DATA_MISSING
d701e38f-88c7-4008-bcd2-2a6ba42eda7e,15,2 MONTH 22.03 (4).jpeg,image/jpeg,COMPLETE,True,PRESENT,PRESENT,False,False,False,True,False,True,READY,True,True,PRESENT,VERIFIED,True,True,True,True,PEOPLE_DATA_MISSING|APPEARANCE_DATA_MISSING
831b3b0d-01fc-4a13-82fe-44bc3c75f981,16,2 MONTH 22.03 (5).jpeg,image/jpeg,COMPLETE,True,PRESENT,PRESENT,False,False,False,True,False,True,READY,True,True,PRESENT,VERIFIED,True,True,True,True,PEOPLE_DATA_MISSING|APPEARANCE_DATA_MISSING
a0ab88b2-08ae-4511-b78d-28c6b33b2eb2,17,2 MONTH 22.03 (6).jpeg,image/jpeg,COMPLETE,True,PRESENT,PRESENT,False,False,False,True,False,True,READY,True,True,PRESENT,VERIFIED,True,True,True,True,PEOPLE_DATA_MISSING|APPEARANCE_DATA_MISSING
a9d4e94d-6045-4014-9442-17c70b97efaf,18,2 MONTH 22.03 (7).jpeg,image/jpeg,COMPLETE,True,PRESENT,PRESENT,False,False,False,True,False,True,READY,True,True,PRESENT,VERIFIED,True,True,True,True,PEOPLE_DATA_MISSING|APPEARANCE_DATA_MISSING
f2324cd6-af1e-4c55-b6dc-2919d11959b0,19,2 MONTH 22.03 (8).jpeg,image/jpeg,COMPLETE,True,PRESENT,PRESENT,False,False,False,True,False,True,READY,True,True,PRESENT,VERIFIED,True,True,True,True,PEOPLE_DATA_MISSING|APPEARANCE_DATA_MISSING
1ac443cd-114f-4aa1-8e41-113f9ba9b246,20,2 MONTH 22.03 (9).jpeg,image/jpeg,COMPLETE,True,PRESENT,PRESENT,False,False,False,False,False,True,READY,True,True,PRESENT,VERIFIED,True,True,True,True,PEOPLE_DATA_MISSING|APPEARANCE_DATA_MISSING
ebbb9b67-7ef6-410e-bad8-a8533da2f3c2,21,25.01 (1).jpeg,image/jpeg,COMPLETE,False,PRESENT,PRESENT,False,False,False,False,False,True,READY,True,False,PRESENT,VERIFIED,True,True,False,False,PEOPLE_DATA_MISSING|APPEARANCE_DATA_MISSING|VISUAL_EMBEDDING_MISSING|FALSE_SEARCH_READY
7d52c78f-8701-4f58-ae2b-b3a76fc206bd,22,25.01 (15).jpeg,image/jpeg,COMPLETE,True,PRESENT,PRESENT,False,False,False,False,False,True,READY,True,False,PRESENT,VERIFIED,True,True,True,False,PEOPLE_DATA_MISSING|APPEARANCE_DATA_MISSING|VISUAL_EMBEDDING_MISSING|FALSE_SEARCH_READY
22d88baf-3ba6-489a-99ec-6ba8548684a3,23,25.01 (17).jpeg,image/jpeg,COMPLETE,True,PRESENT,PRESENT,False,False,False,False,False,True,READY,True,False,PRESENT,VERIFIED,True,True,True,False,PEOPLE_DATA_MISSING|APPEARANCE_DATA_MISSING|VISUAL_EMBEDDING_MISSING|FALSE_SEARCH_READY
e447839d-b034-4936-a1ad-b51b9ccf3739,24,25.01 (18).jpeg,image/jpeg,COMPLETE,True,PRESENT,PRESENT,False,False,False,False,False,True,READY,True,False,PRESENT,VERIFIED,True,True,True,False,PEOPLE_DATA_MISSING|APPEARANCE_DATA_MISSING|VISUAL_EMBEDDING_MISSING|FALSE_SEARCH_READY
92f623b8-30fd-4fe0-8a6e-4a92a8a0b514,25,25.01 (21).jpeg,image/jpeg,COMPLETE,True,PRESENT,PRESENT,False,False,False,False,False,True,READY,True,False,PRESENT,VERIFIED,True,True,True,False,PEOPLE_DATA_MISSING|APPEARANCE_DATA_MISSING|VISUAL_EMBEDDING_MISSING|FALSE_SEARCH_READY
