field_or_concept,table,assets_populated,scenes_populated,people_populated,unknown_count,null_missing_count,confidence_exists,evidence_exists,currently_searchable
visible_person,scene_people,10,10,18,0,0,True,True,PARTIAL
person_role,scene_people,10,10,18,0,0,True,True,PARTIAL
PATIENT,scene_people,0,0,0,0,0,False,False,PARTIAL
DOCTOR_CLINICIAN,scene_people,0,0,0,0,0,False,False,PARTIAL
apparent_age,scene_people,0,0,0,0,18,False,False,PARTIAL
apparent_age_min,scene_people,2,2,2,0,16,True,True,PARTIAL
apparent_age_max,scene_people,2,2,2,0,16,True,True,PARTIAL
gender_presentation,scene_people,2,2,2,0,16,True,True,PARTIAL
hair_color,person_appearances,2,2,2,0,16,True,True,PARTIAL
hair_length,person_appearances,2,2,2,0,16,True,True,PARTIAL
hair_density,person_appearances,2,2,2,0,16,True,True,PARTIAL
hairline_pattern,semantic_assertions,183,50,457,0,698,True,True,YES
receding_hairline,semantic_assertions,27,1,31,0,854,True,True,YES
frontal_thinning,semantic_assertions,0,0,0,0,881,False,False,YES
facial_hair,person_appearances,2,2,2,0,16,True,True,PARTIAL
clothing_type,person_appearances,2,2,2,0,16,True,True,PARTIAL
clothing_color,person_appearances,2,2,2,0,16,True,True,PARTIAL
posture,scene_people,2,2,2,0,16,True,True,PARTIAL
face_visibility,semantic_assertions,46,49,75,0,835,True,True,YES
scalp_visibility,semantic_assertions,54,6,56,0,827,True,True,YES
body_orientation,semantic_assertions,21,13,21,0,860,True,True,YES
PPE,semantic_assertions,830,747,2171,0,51,True,True,YES
person_identity,scene_people,0,0,0,0,18,False,False,PARTIAL
person_confidence,scene_people,10,10,18,0,0,True,True,PARTIAL
person_to_scene_binding,scene_people,10,10,18,0,0,True,True,PARTIAL
person_to_attribute_binding,person_appearances,10,10,18,0,0,True,True,PARTIAL
person_tracking_across_scenes,scene_people,0,0,0,0,18,False,False,PARTIAL
