layer_id,value_text,occurrences,proposed_code,match_method,similarity_score
"ACTIONS_EVENTS","Clinician positioning device near patient's face","3","USING_DEVICE","trigram","0.692"
"ACTIONS_EVENTS","Subject standing still with eyes closed","3","STANDING","containment","1.000"
"ACTIONS_EVENTS","Clinician applying device to patient's face","2","USING_DEVICE","trigram","0.692"
"ACTIONS_EVENTS","Man standing still with eyes closed","2","STANDING","containment","1.000"
"ACTIONS_EVENTS","Practitioner applying device to patient's face","2","USING_DEVICE","trigram","0.692"
"ACTIONS_EVENTS","Practitioner holding syringe near patient's face","2","HOLDING_SYRINGE","containment","1.000"
"ACTIONS_EVENTS","Provider holding device handpiece near patient","2","USING_DEVICE","trigram","0.692"
"ACTIONS_EVENTS","Subject posed for a profile photograph","2","PHOTOGRAPHING","trigram","0.714"
"ACTIONS_EVENTS","Subject standing still for a posed photograph","2","STANDING","containment","1.000"
"ACTIONS_EVENTS","Subject standing still for a posed photograph","2","PHOTOGRAPHING","trigram","0.714"
"ACTIONS_EVENTS","Adjusting device settings via touchscreen","1","USING_DEVICE","trigram","0.692"
"ACTIONS_EVENTS","Attendant applies light-emitting device near patient's eye","1","USING_DEVICE","trigram","0.692"
"ACTIONS_EVENTS","Attendant applies light-emitting device near patient's eye","1","SITTING","trigram","0.625"
"ACTIONS_EVENTS","Attendant leaning over and touching patient's head/face","1","TOUCHING","containment","1.000"
"ACTIONS_EVENTS","Attendant touches/examines the man's scalp with a gloved hand","1","EXAMINING","trigram","0.600"
"ACTIONS_EVENTS","Clinician applies a light-emitting handpiece to the face","1","SITTING","trigram","0.625"
"ACTIONS_EVENTS","Clinician applying device to patient's forehead","1","USING_DEVICE","trigram","0.692"
"ACTIONS_EVENTS","Clinician directing device near forehead with red targeting dot","1","USING_DEVICE","trigram","0.692"
"ACTIONS_EVENTS","Clinician directing handpiece emitting light onto patient's face","1","SITTING","trigram","0.625"
"ACTIONS_EVENTS","Clinician directs a laser handpiece emitting light onto the patient's scalp and face","1","SITTING","trigram","0.625"
"ACTIONS_EVENTS","Clinician directs a light-emitting handheld device toward patient's face","1","SITTING","trigram","0.625"
"ACTIONS_EVENTS","Clinician examining/touching marks on skin","1","EXAMINING","containment","1.000"
"ACTIONS_EVENTS","Clinician examining/touching marks on skin","1","TOUCHING","containment","1.000"
"ACTIONS_EVENTS","Clinician examining/touching marks on skin","1","MARKING","trigram","0.750"
"ACTIONS_EVENTS","Clinician holding a device near patient's covered upper body","1","USING_DEVICE","trigram","0.600"
"ACTIONS_EVENTS","Clinician holding and applying device tip to patient's face","1","USING_DEVICE","trigram","0.692"
"ACTIONS_EVENTS","Clinician holding device against scalp","1","USING_DEVICE","trigram","0.692"
"ACTIONS_EVENTS","Clinician holding device near patient's eye area, light active","1","USING_DEVICE","trigram","0.692"
"ACTIONS_EVENTS","Clinician holding device near patient's face","1","USING_DEVICE","trigram","0.692"
"ACTIONS_EVENTS","Clinician holding device near scalp","1","USING_DEVICE","trigram","0.692"
"ACTIONS_EVENTS","Clinician holding device tip against patient's forehead","1","USING_DEVICE","trigram","0.692"
"ACTIONS_EVENTS","Clinician holding small pointed tool near arm","1","HOLDING_SYRINGE","trigram","0.600"
"ACTIONS_EVENTS","Clinician holding syringe near patient's face while stabilizing head","1","HOLDING_SYRINGE","containment","1.000"
"ACTIONS_EVENTS","Clinician holding syringe near patient's neck","1","HOLDING_SYRINGE","containment","1.000"
"ACTIONS_EVENTS","Clinician holding syringe near subject's neck/jaw","1","HOLDING_SYRINGE","containment","1.000"
"ACTIONS_EVENTS","Clinician holds device against patient's chin/neck emitting green light","1","SITTING","trigram","0.625"
"ACTIONS_EVENTS","Clinician holds device against patient's scalp emitting red light","1","SITTING","trigram","0.625"
"ACTIONS_EVENTS","Clinician holds syringe near patient's forehead while stabilizing head","1","HOLDING_SYRINGE","trigram","0.706"
"ACTIONS_EVENTS","Clinician inserting syringe into patient's neck, then withdrawing","1","HOLDING_SYRINGE","trigram","0.600"
"ACTIONS_EVENTS","Clinician looking down at patient's face while patient remains still","1","LYING_DOWN","trigram","0.636"
"ACTIONS_EVENTS","Clinician positioning device and touching patient's face","1","TOUCHING","containment","1.000"
"ACTIONS_EVENTS","Clinician positioning device and touching patient's face","1","USING_DEVICE","trigram","0.692"
"ACTIONS_EVENTS","Clinician positioning device close to patient's face","1","USING_DEVICE","trigram","0.692"
"ACTIONS_EVENTS","Clinician positioning device near patient's cheek/nose area","1","USING_DEVICE","trigram","0.692"
"ACTIONS_EVENTS","Clinician positioning device near patient's eye/eyebrow","1","USING_DEVICE","trigram","0.692"
"ACTIONS_EVENTS","Clinician positioning device near patient's eye/forehead area","1","USING_DEVICE","trigram","0.692"
