layer_number,layer_name,IMG_0531.MP4,IMG_1238.MP4,IMG_3429.MP4,IMG_9871.MOV,DSC03753.JPG,DSC08097.JPG,IMG_0493.MP4,IMG_1148.MP4,IMG_2963.MP4,IMG_1160.MP4,complete_count,partial_count,missing_count,not_applicable_count
1,Asset Identity & Provenance,C,C,C,C,C,C,C,C,C,C,10,0,0,0
2,Global Asset Understanding,P+U,P+U,P+U,P+U,P+U,P+U,P+U,P+U,P+U,P+U,0,10,0,0
3,Temporal / Scene Structure,P+U,P+U,P+U,P+U,N/A+L,N/A+L,P+U,P+U,P+U,P+U,0,8,0,2
4,People & Roles,P+U,P+U,P+U,P+U,P+U,P+U,P+U,P+U,P+U,P+U,0,10,0,0
5,Person Appearance,P+U,P+U,P+U,P+U,P+U,P+U,P+U,P+U,P+U,P+U,0,10,0,0
6,Anatomy,P+U,P+U,P+U,P+U,P+U,P+U,P+U,P+U,P+U,P+U,0,10,0,0
7,Treatment / Procedure,M,M,M,M,S+U+X,S+U+X,M,M,P+U,M,0,1,7,0
8,Actions & Events,P+U,P+U,P+U,S+U,P+U+X,P+U+X,P+U,P+U,P+U,P+U,0,9,0,0
9,Relationships,P+U,P+U,P+U,M,M,M,P+U,P+U,P+U,P+U,0,7,3,0
10,Clinical Visual Observations,M,M,M,M,P+U,S+U,M,M,M,M,0,1,8,0
11,Environment,P+U,P+U,P+U,P+U,P+U,P+U,P+U,P+U,P+U,P+U,0,10,0,0
12,Cinematography,P+U,P+U,P+U,P+U,P+U,P+U,P+U,P+U,P+U,P+U,0,10,0,0
13,Composition,P+U,P+U,P+U,P+U,P+U,P+U,P+U,P+U,P+U,P+U,0,10,0,0
14,Speech / Transcript / Audio,M,M,M,M,N/A,N/A,M,M,M,M,0,0,8,2
15,OCR / Visible Text,M,M,M,M,S+U+X,S+U+X,M,M,M,M,0,0,8,0
16,Marketing & Content Usage,P+U,P+U,P+U,P+U,P+U,P+U,P+U,P+U,P+U,P+U,0,10,0,0
17,Semantic Narrative,P+U,P+U,P+U,P+U,P+U,P+U,P+U,P+U,P+U,P+U,0,10,0,0
18,Search & Embeddings,P+U,P+U,P+U,P+U,P+U,P+U,P+U,P+U,P+U,P+U,0,10,0,0
