layer_number,layer_id,layer_name,IMG_0531.MP4,IMG_1238.MP4,IMG_3429.MP4,IMG_9871.MOV,DSC03753.JPG,DSC08097.JPG,IMG_0493.MP4,IMG_1148.MP4,IMG_2963.MP4,IMG_1160.MP4,complete_count,partial_count,unknown_count,na_count,pending_count,review_count
1,ASSET_IDENTITY_PROVENANCE,Asset Identity & Provenance,COMPLETE_FOR_PHASE_5,COMPLETE_FOR_PHASE_5,COMPLETE_FOR_PHASE_5,COMPLETE_FOR_PHASE_5,COMPLETE_FOR_PHASE_5,COMPLETE_FOR_PHASE_5,COMPLETE_FOR_PHASE_5,COMPLETE_FOR_PHASE_5,COMPLETE_FOR_PHASE_5,COMPLETE_FOR_PHASE_5,10,0,0,0,0,0
2,GLOBAL_ASSET_UNDERSTANDING,Global Asset Understanding,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,0,10,0,0,0,0
3,TEMPORAL_SCENE_STRUCTURE,Temporal / Scene Structure,COMPLETE_FOR_PHASE_5,REVIEW_NEEDED,COMPLETE_FOR_PHASE_5,COMPLETE_FOR_PHASE_5,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE_FOR_PHASE_5,COMPLETE_FOR_PHASE_5,COMPLETE_FOR_PHASE_5,COMPLETE_FOR_PHASE_5,7,0,0,2,0,1
4,PEOPLE_ROLES,People & Roles,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,0,10,0,0,0,0
5,PERSON_APPEARANCE,Person Appearance,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,0,10,0,0,0,0
6,ANATOMY,Anatomy,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,0,10,0,0,0,0
7,TREATMENT_PROCEDURE,Treatment / Procedure,PARTIAL,UNKNOWN,PARTIAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PARTIAL,UNKNOWN,0,3,7,0,0,0
8,ACTIONS_EVENTS,Actions & Events,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,0,10,0,0,0,0
9,RELATIONSHIPS,Relationships,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,0,10,0,0,0,0
10,CLINICAL_VISUAL_OBSERVATIONS,Clinical Visual Observations,PARTIAL,PARTIAL,PARTIAL,UNKNOWN,PARTIAL,UNKNOWN,PARTIAL,PARTIAL,PARTIAL,PARTIAL,0,8,2,0,0,0
11,ENVIRONMENT,Environment,PARTIAL,PARTIAL,PARTIAL,UNKNOWN,UNKNOWN,UNKNOWN,PARTIAL,PARTIAL,PARTIAL,PARTIAL,0,7,3,0,0,0
12,CINEMATOGRAPHY,Cinematography,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,0,10,0,0,0,0
13,COMPOSITION,Composition,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,0,10,0,0,0,0
14,SPEECH_TRANSCRIPT_AUDIO,Speech / Transcript / Audio,PENDING_PHASE_6,PENDING_PHASE_6,PENDING_PHASE_6,PENDING_PHASE_6,NOT_APPLICABLE,NOT_APPLICABLE,PENDING_PHASE_6,PENDING_PHASE_6,PENDING_PHASE_6,PENDING_PHASE_6,0,0,0,2,8,0
15,OCR_VISIBLE_TEXT,OCR / Visible Text,PENDING_PHASE_7,PENDING_PHASE_7,PENDING_PHASE_7,PENDING_PHASE_7,PENDING_PHASE_7,PENDING_PHASE_7,PENDING_PHASE_7,PENDING_PHASE_7,PENDING_PHASE_7,PENDING_PHASE_7,0,0,0,0,10,0
16,MARKETING_CONTENT_USAGE,Marketing & Content Usage,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,0,10,0,0,0,0
17,SEMANTIC_NARRATIVE,Semantic Narrative,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,0,10,0,0,0,0
18,SEARCH_EMBEDDINGS,Search & Embeddings,PENDING_LATER_SEARCH_STAGE,PENDING_LATER_SEARCH_STAGE,PENDING_LATER_SEARCH_STAGE,PENDING_LATER_SEARCH_STAGE,PENDING_LATER_SEARCH_STAGE,PENDING_LATER_SEARCH_STAGE,PENDING_LATER_SEARCH_STAGE,PENDING_LATER_SEARCH_STAGE,PENDING_LATER_SEARCH_STAGE,PENDING_LATER_SEARCH_STAGE,0,0,0,0,10,0
