"ordinal","asset_id","filename","local_classification","confidence","patient_context","procedure_context","sensitive_text","external_ai_current","human_decision","reviewer","reviewed_at","notes"
"31","ee67353a-16f0-46e8-b0b6-518806952824","IMG_1460.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"32","536417dd-2987-4f12-9acc-2eb4daa790e4","IMG_1462.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"33","13059c1f-f0db-4e04-8a85-fa3fada9842f","IMG_2930.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"34","935c6405-ca7d-4207-bd67-add307cfae83","IMG_0562.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"35","e48af1bd-b774-47fe-a330-64aef8b6ad85","IMG_1152.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"36","ff589be5-5f62-4adc-bffd-4755cd232a0b","IMG_1144.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"37","6aef3c16-4b65-46e0-8c0c-ec0e204c24fc","IMG_0922.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"38","ed08e005-87cf-4a44-8afa-1bc1f46c6574","IMG_4125.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"39","b5bb4a22-2666-4915-bdf5-e46df4b97d3d","IMG_0958.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"40","fc6ce1f5-6a6f-4509-9281-7f87daafe97b","IMG_0544.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
