"ordinal","asset_id","filename","local_classification","confidence","patient_context","procedure_context","sensitive_text","external_ai_current","human_decision","reviewer","reviewed_at","notes"
"501","52e64edd-2044-4337-9c42-0a159474d474","IMG_1454.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T01:22:07.984288Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 501-600."
"502","95e1a93f-197e-4e2e-8339-9a1b4dffad78","IMG_1947.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T01:22:07.984288Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 501-600."
"503","a9b8273e-af3f-4a4d-aad0-ef38512261a2","IMG_1380.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T01:22:07.984288Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 501-600."
"504","33912c3b-bf64-4d7c-a089-ca31375690a6","IMG_4817.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T01:22:07.984288Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 501-600."
"505","8bacd21f-e17a-4f19-a931-2e84433bba61","IMG_3576.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T01:22:07.984288Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 501-600."
"506","0e518d7b-d4b1-4b26-bd0a-da5acdf5285c","IMG_3967.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T01:22:07.984288Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 501-600."
"507","2b4305db-7db7-4204-b391-7a9960e1cb80","IMG_1963.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T01:22:07.984288Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 501-600."
"508","43813de6-2037-4ccc-bda9-96d8e491d8f1","IMG_0474.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T01:22:07.984288Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 501-600."
"509","c9ac15e4-0695-4f68-b4a3-2072c501ecfa","IMG_3408.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T01:22:07.984288Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 501-600."
"510","5310794b-f9e9-42bc-b287-62f76eb20f87","IMG_3581.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T01:22:07.984288Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 501-600."
"511","45c39ee6-8768-4951-b47f-b087ccd5ebef","IMG_1444.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T01:22:07.984288Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 501-600."
"512","df261fce-2136-4609-b469-282ccbf1f1bd","IMG_3486.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T01:22:07.984288Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 501-600."
"513","56aca3c9-4c3c-441c-8b16-3a0917afdacc","IMG_0970.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T01:22:07.984288Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 501-600."
"514","81d18de6-f21e-4e55-a7d9-8683167dfdb7","IMG_0527.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T01:22:07.984288Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 501-600."
"515","adc9a170-0946-4ff1-9eb6-6d8ae6a87be4","IMG_2602.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T01:22:07.984288Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 501-600."
"516","d98ba5f0-7c8e-4ab7-8b22-2a2053ad113f","IMG_1012.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T01:22:07.984288Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 501-600."
"517","e70a4b8b-b4bd-495b-b7e4-460368ecdf2b","IMG_2928.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T01:22:07.984288Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 501-600."
"518","83325492-72fd-4904-a149-af17f1618099","IMG_0507.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T01:22:07.984288Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 501-600."
"519","a8b38444-4570-4f94-a801-98c523975a10","IMG_1440.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T01:22:07.984288Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 501-600."
"520","a23f0db3-e2a5-4ea8-aecd-004ad51dd323","IMG_3577.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T01:22:07.984288Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 501-600."
"521","2cb9f8a6-6dcb-4679-9e54-ddb7b60ac5da","IMG_1236.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T01:22:07.984288Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 501-600."
"522","a244bec0-ac06-4681-a460-dbe22d82c735","IMG_3196.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T01:22:07.984288Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 501-600."
"523","b174b25d-8bf3-401d-99de-5d04d15d2e22","IMG_4617.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T01:22:07.984288Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 501-600."
"524","04ab2568-ba9d-4f5a-83a7-bcc5bbac42e2","IMG_4841.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T01:22:07.984288Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 501-600."
"525","fe154466-608c-4787-8f18-a7c15b6051a9","IMG_2340.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T01:22:07.984288Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 501-600."
"526","55b13ea7-5c8b-4d34-b85f-7c10e4246322","IMG_1955.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T01:22:07.984288Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 501-600."
"527","162b99eb-d4d9-4143-a857-deb1af98d3ff","IMG_1383.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T01:22:07.984288Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 501-600."
"528","6ab59055-2a32-4a69-b955-f0e6164b9948","IMG_1004.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T01:22:07.984288Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 501-600."
"529","002b0eda-e519-44d9-97f4-0792fa989c35","IMG_2315.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T01:22:07.984288Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 501-600."
